time (s),strain (mm/mm),stress (MPa)
0.0, 0.0, 0.0
0.101694911718369, 0.00407328405926877, 0.023639528080821
0.203389823436737, 0.00799866505320757, 0.0463984869420528
0.305084735155106, 0.0119947461139303, 0.0695466995239258
0.406779646873474, 0.0161754404123404, 0.0937414243817329
0.508474588394165, 0.0205646851630885, 0.119119644165039
0.610169470310211, 0.0243270322778504, 0.140849962830544
0.711864411830902, 0.028110997500693, 0.162698268890381
0.813559293746948, 0.0324910745633527, 0.187958225607872
0.915254235267639, 0.0369208746279739, 0.213491767644882
1.01694917678833, 0.0406846865019579, 0.235161319375038
1.11864411830902, 0.0453644817068857, 0.262087613344193
1.22033894062042, 0.0490821796563274, 0.283464431762695
1.32203388214111, 0.0531859466309235, 0.307057857513428
1.4237288236618, 0.0577464572009139, 0.333248168230057
1.5254237651825, 0.0615990191239342, 0.355355560779572
1.6271185874939, 0.0664092559278404, 0.38294243812561
1.72881352901459, 0.0700598716860132, 0.403863936662674
1.83050847053528, 0.0728730240300246, 0.419991046190262
1.93220341205597, 0.0764234554267751, 0.440329343080521
2.03389835357666, 0.0823822276472537, 0.474446088075638
2.13559317588806, 0.0843145782350885, 0.485502779483795
2.23728823661804, 0.0897729032373891, 0.516722023487091
2.33898305892944, 0.0938377662574679, 0.539959728717804
2.44067788124084, 0.0987647279672024, 0.56810599565506
2.54237294197083, 0.103176660781653, 0.593310296535492
2.64406776428223, 0.104968386057812, 0.603544294834137
2.74576282501221, 0.107530398683122, 0.618171274662018
2.84745764732361, 0.114670038218961, 0.658916890621185
2.94915246963501, 0.118022591385388, 0.67804217338562
3.05084753036499, 0.121322792945657, 0.696864664554596
3.15254235267639, 0.128556843546582, 0.738109946250916
3.25423717498779, 0.132784204391496, 0.762204229831696
3.35593223571777, 0.135244275289534, 0.776223182678223
3.45762705802917, 0.1373221623143, 0.788061618804932
3.55932211875916, 0.144520400823392, 0.829070031642914
3.66101694107056, 0.14676520491014, 0.841855525970459
3.76271176338196, 0.150786892293482, 0.864759385585785
3.86440682411194, 0.153407901314027, 0.879684329032898
3.96610164642334, 0.157300582830552, 0.901848673820496
4.06779670715332, 0.161780218037261, 0.927349150180817
4.16949129104614, 0.166313289347624, 0.953157305717468
4.27118635177612, 0.174517078992929, 0.999853253364563
4.3728814125061, 0.174185014285165, 0.997963309288025
4.47457647323608, 0.178533387538161, 1.02271258831024
4.57627105712891, 0.184813869268052, 1.05845749378204
4.67796611785889, 0.185589305494193, 1.06287086009979
4.77966117858887, 0.193369892822238, 1.10715305805206
4.88135576248169, 0.193242327288937, 1.10642719268799
4.98305082321167, 0.199996735592387, 1.14487087726593
5.08474588394165, 0.20308713558788, 1.16246116161346
5.18644046783447, 0.20690328449401, 1.18417918682098
5.28813552856445, 0.211698288353191, 1.21147155761719
5.38983058929443, 0.216777793700969, 1.2403975725174
5.49152565002441, 0.220809939306328, 1.2633467912674
5.59322023391724, 0.224115469737106, 1.28217470645905
5.69491529464722, 0.231151422042215, 1.32225120067596
5.7966103553772, 0.229223857536974, 1.31127214431763
5.89830493927002, 0.235651414300226, 1.34788501262665
6.0, 0.246508546814247, 1.40975046157837
